,KEGG,PUBCHEM,HMDB,Blank_6 h,Ca_6 h,Ca_6 h,Ca_6 h,Ca_6 h,Ca_6 h,Lr_6 h,Lr_6 h,Lr_6 h,Lr_6 h,Lr_6 h,EC_6 h,EC_6 h,EC_6 h,EC_6 h,EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Blank_12 h,Ca_12 h,Ca_12 h,Ca_12 h,Ca_12 h,Ca_12 h,Lr_12 h,Lr_12 h,Lr_12 h,Lr_12 h,Lr_12 h,EC_12 h,EC_12 h,EC_12 h,EC_12 h,EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h
3-(4-hydroxyphenyl)lactate,C03672,9378,HMDB00755,,33556,,,,,546690,787237,1117297,276658,383234,276445,270220,479725,302271,377528,267693,338927,425861,368599,437594,67808680,48811560,61454356,38082708,36403908,59277680,49431772,67985616,46835904,37239668,,,39879,92603,57575,77017,587153,917688,1031989,366771,543082,346386,314077,507040,495392,624544,68649,351552,508589,597988,489313,60631808,50545356,60452548,46063404,50975072,57930476,46097904,58252904,40784996,53735012
3-formylindole,C08493,10256,HMDB29737,325895,423999,398045,516607,401576,368426,373336,480292,353105,433392,355184,300067,,283012,329678,353527,377395,266041,359386,498793,286710,1523719,905143,1595255,1250944,913080,1081626,1203761,2209888,1698725,1370202,360748,644162,672779,682397,889550,686362,461001,492692,593452,551809,363155,346874,423055,329126,385593,343231,740653,565926,579056,839724,404429,2602167,1331916,1607502,2112669,1318656,1414162,962725,1795220,1367999,916834
3-hydroxy-3-methylglutarate,C03761,1662,HMDB00355,,,,,,,848928,893612,537905,1009818,,6298457,7194749,7172956,3532501,7865742,6059432,8293076,7676374,7907452,6851275,7992326,7822661,9211158,7482333,8920384,7429141,8239058,7864371,10405184,8914908,,1000114,1346528,,686240,,908061,1045119,2074243,1263430,359855,7447936,7720851,9468211,10410387,10725188,1112988,8412333,8939596,10970682,11499204,13072631,10483652,13525797,13857447,8695283,11932118,11063619,14784256,11001855,11982270
3-hydroxybutyrate (BHBA),C01089,441,HMDB00357,,,,,,,,,402298,,,7310359,4174199,4376991,6091327,8490157,6496437,6125083,9478504,6288839,6533752,6704315,9171438,8624346,15879380,7101214,6588867,6503249,6248417,9917937,9467383,,,,,,,332810,420348,,,,4642270,5512880,7754771,7310359,7605022,,6813341,6931526,13234495,13517358,10927668,10983665,9481344,14772865,6960137,7350859,9908970,11040307,13367360,10807240
3-hydroxybutyroylglycine**,,,,1831601,1366599,1466411,1547679,852237,1518135,1009634,1529315,1793735,1366535,1313256,,,,2097245,1547004,760302,1423761,1872111,1291338,1246022,1215578,1200905,1539157,1702990,1475089,1364230,1600927,1574925,1270950,1470133,1227284,1559178,2053661,1875302,1654181,1841376,1106979,1515649,1301459,,,1598275,,1297409,1310433,,1426924,1655198,2330186,1223159,1101070,10827035,1491897,1738195,1717743,1603500,1325468,1480503,1384309,930927,2049641
3-hydroxyisobutyrate,C06001,87,HMDB00336,,,,,,,,,,,,,312838,,270582,,,714126,,526289,394029,970122,622533,574411,,478840,474455,,813351,215246,535946,,,,,,,,,,,,,362160,,637055,824798,,257687,,954220,1403554,2124316,747470,,2765337,494951,631024,512105,,1386205,380437
3-hydroxyoctanoate,,26613,HMDB01954,,31406,,,,,,,,47578,,,,,,89932,,,,,,148821,128318,137298,114638,46886,114973,169234,177533,145523,,,,,,,,,,,35189,,,,,,,,91312,54775,96694,60244,153321,121552,142104,188091,54208,150122,172198,185658,154159,124935
3-indoleglyoxylic acid,,73863,,,44872,51404,41651,50123,33716,,,26204,,,,27914,26894,,23715,21862,47477,37922,29643,,293778,234039,392297,352860,154193,275494,279917,386538,368854,180915,23200,176583,162567,207477,177055,161907,,,18854,,,,,26947,42990,,163227,88961,60455,66428,55306,446440,373682,554652,592663,238388,384582,332476,580624,491608,194539
3-methyl-2-oxobutyrate,C00141,49,HMDB00019,,958727,1179605,955143,1761235,830758,,,,,,4942228,6124034,6252138,6897971,5856584,4578697,7032840,5282969,6244799,6514092,1524816,1831579,2400627,1387175,2125070,1085276,1648786,934722,1639116,1679254,,1582714,1569597,2444633,2053386,1280293,,,,,,5887392,7640022,6459333,8219680,7577399,1846344,8492334,7173372,8919482,7539557,1857508,1717266,907666,1872273,937350,1545921,1179125,949706,1216119,1365447
3-methyl-2-oxovalerate,C00671,47,HMDB03736,,969532,1195205,1085817,1266226,1253397,155439,70514,121886,,80907,11437649,12456980,11109561,14117562,12336346,10553113,14112725,11543384,12378875,13869836,4446261,3507129,3503769,3674753,7756337,3839877,3692188,3710673,3954884,6199072,,1906090,1947233,2641341,2248959,1510313,,,77541,,168053,12844983,17271012,12578236,13802158,15543812,2078258,18023996,13869650,15635726,14838546,3692188,3353602,2670885,4464312,3846173,2987993,2198053,2243048,2753128,2899835
