,KEGG,PUBCHEM,HMDB,Blank_6 h,Ca_6 h,Ca_6 h,Ca_6 h,Ca_6 h,Ca_6 h,Lr_6 h,Lr_6 h,Lr_6 h,Lr_6 h,Lr_6 h,EC_6 h,EC_6 h,EC_6 h,EC_6 h,EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Blank_12 h,Ca_12 h,Ca_12 h,Ca_12 h,Ca_12 h,Ca_12 h,Lr_12 h,Lr_12 h,Lr_12 h,Lr_12 h,Lr_12 h,EC_12 h,EC_12 h,EC_12 h,EC_12 h,EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h
glycerophosphoserine*,,3081457,,,,,,,,,,,,,,,245737,230894,338993,,147734,358181,227542,213555,220635,356125,388206,306392,409333,261694,246257,552441,326443,393518,,,,,,,,,,,,,169761,268612,278281,405622,,466368,761004,490683,695124,400856,422314,423979,441477,426312,303051,402451,524171,469529,490350
glycine,C00037,750,HMDB00123,41210520,39573952,41492848,44731732,39553176,41153448,37869976,41165804,37498680,40096836,39426984,50249000,49446888,53499488,51897664,47480112,43394112,52045520,51513892,51317228,46478288,47470136,46487480,50903956,48753876,46591044,41612552,45921528,56397068,48174884,57084608,39934452,40678172,41611684,43390128,41518208,43355216,42150064,41738408,40947368,42071960,41341324,49384248,53931212,55385660,61449956,53678536,39571988,55851052,54881620,67599904,51194260,55704704,54233256,58637920,58592476,54251604,54092276,51331612,60717064,52532136,54490716
guanine,C00242,764,HMDB00132,,,185316,,186105,278544,713828,540951,457522,538684,969466,1108081,1267860,797652,861265,809857,1399457,920686,1208667,1441623,824329,1971992,1381690,1702634,1804642,1082151,2128688,899244,1224463,1640011,1534407,,2588565,3174816,3200555,3631164,3255880,775311,450732,501858,661161,1083197,1566543,733173,897276,1104221,413004,2845040,1588029,1399613,2097007,737458,849350,494040,1139314,721627,1241193,1666496,853020,918084,1497157,1004117
gulonate*,C00257,152304,HMDB03290,,295400,,187716,,95670,109233,,,,,549510,404268,676757,455074,503750,517866,634691,630908,1016469,571714,920856,,649426,298656,586285,,324781,687795,,718013,,232478,,,,,,,,,,923612,490300,773370,1123719,1311744,,674429,1042521,1473802,741499,1287177,734206,780030,905816,448731,654560,523314,826648,834223,711196
HEPES,,23831,,1730934400,1792135680,1781809792,1804078336,1734805632,1880354688,1724808704,1845996800,1758466560,1615750400,1704913408,1651321088,1629426432,1838422272,1586844160,1635950080,1645385600,1720505472,1718896512,1663357568,1652429696,1792741120,1606953216,1792627456,1667184256,1634989696,1636857216,1707481984,1704248832,1701680128,1735426816,1665785344,1615811072,1711061248,1826488064,1685558784,1767708672,1782585216,1754453120,1591344256,1768535424,1865234944,1744104064,1755320448,1717151360,1728561152,1689676160,1674948096,1730689280,1660237568,1630426368,1628598144,1667607168,1790741760,1683669760,1697758464,1501421568,1842748288,1625868928,1597378176,1606538240,1579051264
hippurate,C01586,464,HMDB00714,,,,,,,,,,,,130493,135838,207077,151020,158075,171299,177867,153581,324536,140886,,21683,,,73203,,,,,81519,,,,,,155724,,,,,,160433,144689,219744,462018,327422,,156142,135718,585920,112689,,,,,,,,,13773,24395
histidine,C00135,6274,HMDB00177,19889100,18844670,20366142,17851478,20874056,16806498,21001174,21554750,19823594,19920292,18327702,17918670,18758692,19607762,19633792,17565620,20571764,20494646,19896784,20723842,21255664,24853304,20125794,20457176,20588544,20659914,21093182,20502366,23204176,21086344,19539214,19016620,18949308,19907558,21129640,19272888,16757607,20195430,20432566,19551596,21640602,19426598,19059240,20862602,21199056,20954686,21340008,20539834,21083154,21524232,21225518,21654366,21682954,21904044,21138258,22099208,19301996,21929578,19443110,21899742,20310710,21011054
homoarginine,C01924,9085,HMDB00670,,,,,,,,,,,,935575,1074285,1726933,1031519,667965,523652,847009,943607,1401444,453603,1326596,694540,872363,370371,737354,1021522,525833,1462734,1179092,964581,,,,,,,,,,,,947126,494139,993319,1884035,1134871,,861766,774444,3279578,204620,2605891,1015245,1519988,1738194,1166335,1609340,825121,1037293,953761,528667
hypotaurine,C00519,107812,HMDB00965,,,,,,,,,,,,1341325,613682,1029539,1206024,747432,1296159,923972,1055618,1284960,727719,1508221,959699,1167838,1264154,953458,1289526,725931,1223081,1476896,854316,,316793,281483,286869,280717,259883,,,,,,1343778,837320,1295764,1249133,828607,243645,838985,1361504,1527689,1073607,1702850,949219,1300978,1425436,1019259,1650113,975784,1583728,1400818,1049065
hypoxanthine,C00262,790,HMDB00157,266042,843174,366434,1421676,298529,1373500,3126679,3493573,3815442,4013829,1798633,3622221,3022500,3341092,2754867,3141872,2785263,3301085,2684243,2796358,3158730,5370340,4879126,5235385,6083462,4033213,5157648,5424356,5129672,6165244,3882761,288414,761809,1549749,1419370,1133295,1654086,3801241,3707584,3690501,4942133,1985646,3525535,3665242,3073760,3647480,3758110,1932797,4329853,4073459,3392073,3899194,5727615,6360967,5695185,7523935,4480757,6283626,6302179,6138109,7660386,5298114
imidazole lactate,C05568,440129,HMDB02320,,921428,1265077,892374,1134328,950222,,,,,,,,,330536,237829,225169,689510,615324,685252,275655,1621936,3263885,2451683,3597143,345628,1731961,3680134,2379889,2934145,623051,,2349837,2812660,4296515,3860241,3398408,,,,,,,,171574,300203,,2812516,2482627,1850709,2391572,1509805,3206611,5217554,4470815,5437746,716486,8210884,13299801,6500247,11461708,3889020
indoleacetate,C00954,802,HMDB00197,,,,,,,,,,,,,,,,,,40117,32221,,,,,,,,26610,40821,29911,25272,28538,,,,,,,,,,,,,,,,,,291378,234399,282509,198152,,,,24987,,117447,237256,147875,194073,195793
indolelactate,C02043,92904,HMDB00671,,575448,1059398,1452507,1605385,648909,208453,786707,676478,300025,187304,954209,825391,1723939,1580786,810722,1011289,1392183,1665816,2204372,837352,42941316,75715872,82725088,104212800,10892521,53634924,76321712,94322048,93994480,23169544,,3303974,6671568,8649422,9165186,4481020,480100,1115936,533362,306741,395803,1286943,1160606,1917128,2246375,1250062,4492225,4428228,3996785,7336311,2634203,135328768,116084576,90733136,128613984,35444696,89865416,92283904,115586456,115713976,37757884
inosine,C00294,6021,HMDB00195,,,,,,,52283288,44404896,69649112,54545792,15800164,1957128,1333504,1661954,1651503,1848929,2251236,1969773,1949342,2206423,2169745,9028574,4443661,8508400,8134410,7032826,11124314,3962720,7250077,7127281,7303530,,254784,357153,415303,329290,433709,62494800,52852088,67882200,66208940,19856430,2038686,1597798,1530811,1592810,1605900,288080,5512504,7281768,5699758,4976053,,2914736,4285101,4893996,5189418,7711213,3108590,5528874,5842095,5457907
isocitrate,C00311,1198,HMDB00193,,,,,,,,,,,,1529611,1500186,2055615,1757859,1544155,1237828,1788738,1802008,1423772,1527966,1519833,1076436,1285865,838292,1292363,1118621,1078681,1234504,947820,1567208,,,,,,,,,,,,1658288,1720003,2471516,1535491,1489108,,2388651,2039667,1501683,2086815,1126616,1327104,1073811,1125113,1532359,1512752,1186809,793907,999112,2273069
isoleucine,C00407,6306,HMDB00172,3157761792,3166981120,3194321408,3401042688,3087745280,3149083136,3086770432,3233871104,3148036608,3179131136,3174795776,3152061440,3028773376,3081825536,3123890432,3001567232,2873385472,3135691008,2919407360,2941024768,3009257984,2793691648,2784417280,2919517440,2787741184,2758912256,2698626304,2878627328,2991971840,2785691136,3044816640,3131782912,3201475328,3062027264,3207625984,3158031616,3248344576,3316845056,3329340928,3297820928,3395122688,3230902272,3078563584,3180761600,3096410880,3146686720,2984683008,3062591744,3062786048,2946502144,3132577280,2926666752,2741112064,2911431168,2849624320,2867041792,2945237504,2873074944,2782199552,2841317376,2734952192,2950771200
isovalerate (i5:0),C08262,10430,HMDB00718,,,,,,,,,,,,,,,,,,211687,178615,,86511,,,,,,,,,,,,149363,234050,227935,203891,226783,,,,,,,,,,,167958,1925025,917071,1335508,792810,,,,,,,162043,,218246,218246
kynurenate,C01717,3845,HMDB00715,,47612,61768,51890,60799,34708,,,,,,,,,,,,76180,38310,45936,,,40364,,39869,,38432,42846,,50855,,,951239,1021022,870296,1034273,1011242,,,,,,,,,31356,,886619,490348,391573,224059,297856,55361,41271,33297,61066,,48734,50045,34823,48566,49820
kynurenine,C00328,161166,HMDB00684,1918482,1205757,1153456,1452341,1217093,1663977,1286050,1298950,1362651,1285067,1374284,2079534,1373541,2102374,1971369,2233534,1437268,2164484,1533607,1868539,1573295,1460696,1998087,2091669,2383138,1692264,1625158,1841525,2456937,1982111,2524772,1861867,1517527,1704965,1726335,2123234,1740194,1298935,1451632,1017919,1666627,1388880,1854875,2184781,1563388,2089556,1637556,1708428,1883316,1854133,3339170,2134056,2880311,2656340,1496603,2577700,2213334,2116709,1852182,1744169,2316613,1926332
lactate,C00186,612,HMDB00190,,,,,,,1310032384,958975872,1338444160,1440323968,390214144,2045424128,2106575104,2606204928,2252188672,2368703488,1994075136,2261868288,2906253312,2289192448,2665748224,5537396224,5010383360,5243536896,4881119232,4348622336,5192682496,5377347584,3189213440,5534369280,4552105984,,,,,,,1658018944,1218448896,1730832512,1790534144,460959840,2597000960,2929770496,3414906112,3320595200,3740998144,4555654,3089307392,3944212224,3601272064,3906964224,6271306752,5508105216,5843712512,5649484800,3220689152,6120284160,5671432192,5855162368,5306177024,5781013504
leucine,C00123,6106,HMDB00687,2865715456,2715887872,2785950720,2846317824,2686561280,2706688768,2594640384,2767022848,2737974528,2751673088,2692594432,2660873728,2679365120,2611710976,2527890432,2447820032,2352725248,2548913152,2436647168,2544696064,2402479872,2182526208,2137996288,2238526976,2253560064,2216284928,2013797888,2138063744,2359605504,2169254144,2506779904,2687355136,2418862848,2461973248,2574739200,2477237504,2554286592,2806313216,2820121856,2708184320,2877507072,2797119488,2460362496,2618719744,2490403584,2650526720,2433634048,2442993152,2477579008,2340905472,2680134400,2392175616,2313571584,2323574016,2267258880,2344095744,2312371968,2275353088,2099150464,2295507200,2153700352,2258001408
lysine,C00047,5962,HMDB00182,200980528,185083168,181669680,192475296,172687584,188361264,186095040,193751168,172061136,195070096,191902064,218085648,199887552,229171888,212367392,192623232,198361536,199697440,189720960,219479248,185839824,108553344,93851280,112149016,95848312,134766256,92890696,81436816,137427552,106180976,170814992,190797392,65396684,58876692,70149000,66896232,75654896,199144064,201642768,192874832,206679776,199680688,213338608,196428992,220603856,269048800,219739472,64175624,144976912,146240496,247471952,138938832,189811760,98044848,124769352,151519200,131282136,112116888,84516096,139844448,100917176,109689456
malate,C00149,525,HMDB00156,,1255702,306965,1335521,225790,1269386,4771117,2204376,4115709,1815668,2524870,11197800,9525714,11106211,11290199,9993600,11776906,11474590,12318314,10721732,12568450,13447319,11852844,10523631,12694886,12345512,12952040,11500116,13266027,12328964,10079431,,6682164,6517680,6788094,6593978,5967352,5442581,1866804,3748932,2715183,2827852,11972612,12859724,13502532,12493070,14923974,6500981,17576112,17520250,17549392,18742428,13177282,15799786,12681996,16154223,12739643,13521611,14137046,15417814,14561519,14514395
malonate,C00383,867,HMDB00691,640039,1510406,790433,659975,849700,,12879767,13508770,4613089,30316802,600678,,1299346,1157951,1044082,,1539290,1579514,1467469,3158090,1450423,9974067,14241130,4740334,16100303,8826947,11714737,14067048,5619532,16883972,2047764,499962,3114294,2299195,2921760,3070498,,1386851,16337008,18244012,34000432,,,1198676,,1381587,1418312,1331500,1824566,3132786,2908943,1222719,1127339,15205093,4977034,15695846,5316223,5727441,14743541,8206314,16698178,3115917
mannitol/sorbitol,C00794,5780,HMDB00247,,,,,,,8007381,7209899,8440553,15099102,1629371,5267296,5030033,6305764,5852899,6050976,5411945,7355348,6061652,13038026,4925463,2151697,2307874,679949,619019,5910410,1746181,2275577,397862,732388,8473830,,,156791,,126346,,12433711,8125468,10274476,19877434,2186364,7029417,6593489,7808665,18744812,10232207,,6313819,6138392,20604020,5852899,417359,990337,6816214,,5789456,702613,928879,114599,250369,4676153
mannonate*,,3246006,,1856536,1781770,2134453,1721510,2092111,1590948,1874851,2355438,2261718,1847290,1973953,1681733,1714293,1703125,1002105,1684271,1544175,1607516,1761037,1715128,1700752,1549272,2255313,1548017,1355018,1697807,1522247,1631762,1177050,2011684,1781544,1495507,1929930,1837627,2193819,2153526,2041710,2205622,1958699,2323268,2185863,1787461,2294290,1658601,1595992,1579042,1679297,2162641,1653313,1584534,1681086,1976128,1520933,1689584,1602618,1516659,1385050,1632622,1625052,1552766,1662218,1999333
mannose,C00159,18950,HMDB00169,,165114,2779004,558537,5088133,,4265539,3254519,2361585,3056953,713389,5330135,4866720,4382405,4211620,6521612,4157702,6761505,3911909,7416600,4646067,,,,,5744559,,,,,5404689,3532771,953978,216554,,249614,,5368237,4799910,1287305,5578995,1612415,5899755,6652285,4324731,8280872,4790724,,1716287,1099908,2957141,2481322,,,,,,,,,,
methionine,C00073,6137,HMDB00696,778117376,730810560,754876992,813058304,741025408,748819648,707600128,760390144,719225472,765467648,736930624,727065344,711697856,716733184,714346752,670954112,642258176,723816768,648307520,702536640,678948992,565119296,562462912,600100800,591022976,601374464,536014976,570933248,634926848,580022976,704548160,721471104,643002112,668392256,682843904,652426432,675543936,796517632,788150144,726537856,805628800,776573824,680873344,729193472,713962752,769113600,687358144,644578624,692617152,641897408,728750528,631244800,584740992,631502272,616676032,621081600,645403904,612469632,551572736,628979904,576978368,641567872
methionine sulfone,,69961,,,,,,,,,,,,,,,164204,,145048,168588,,203655,361875,,122674,,174651,,,94609,,426137,291857,231981,,,,,,,,,,,,,,200077,580876,324443,,,,781278,,492293,,293395,464614,198023,164452,108812,381382,135887,75898
methionine sulfoxide,C02989,158980,HMDB02005,7705268,6216734,5720458,6441976,6817473,6776286,5554586,5761535,6317621,6215680,6087214,5909811,5859143,6257473,5567862,6016495,5118572,6011798,5369337,6717700,5995748,4792761,5673536,5712278,5899227,5390745,5067325,5186218,6147954,5479280,6584860,7073138,8480412,8144812,7846894,8790678,8828511,6088941,6428750,5684846,7080559,6256951,5257993,6460533,5008813,6986479,6056945,7799144,6869109,5852558,7975495,6665519,7628561,5980773,5697873,6271027,6251149,5116366,5882331,5960008,6301341,6387954
methylsuccinate,,10349,HMDB01844,1851977,2772045,2213771,2323710,2934841,2371240,2356433,2869946,2171637,2575919,1877856,2224967,948665,2108879,620304,2094732,2252995,1851924,2068390,2631344,1513259,2643021,3064068,2450538,3293051,2377113,2412474,2772496,1644314,2373297,2685891,1200729,2906183,3609617,2048019,2340631,3254127,2518854,2354376,2151066,3386044,2424722,2135048,1570213,2331303,1336689,2462327,2469093,1551503,1918012,2526052,1979046,4067931,2215565,3263469,2203369,1713199,2644976,3889853,2640320,3091769,3039582
mevalonate,C02104,439230,HMDB00227,,,,,,,85589960,20214392,84902928,30484884,20782974,190729,,,,144310,198869,,,,307088,81771712,37286244,65316500,39352404,34263716,69273072,40112292,48769824,45981088,35492632,,503176,77164,,76592,392486,114996552,20008038,81624072,35492632,23378080,159461,,,,,358310,,,42018,302902,172041456,39337016,65587092,40640648,35395684,71817040,35204984,139742960,42149608,84623256
mevalonolactone,,10428,HMDB06024,468895,,,,,,52184208,51605108,49072616,63215968,17616792,,,,,,,2294746,,,,119660040,93363208,110277568,114052712,37562300,82775088,94512264,96228696,92548760,62905280,,,,,,,79690800,51736588,49220656,76271536,19709576,,,,,,,525794,,,1125541,86919872,107226984,92861648,99981216,68037288,105075128,84076848,91076152,88787496,65864932
myo-inositol,C00137,892,HMDB00211,63074124,66266264,60303144,74887048,72141792,72496256,40140764,59935332,82495440,61238092,78536888,65485692,67582792,75500720,47170776,39372512,55362040,61380696,71810208,79491864,44862256,41851316,74521448,77355376,61852764,16452030,22571378,66182076,49435148,72114216,78705592,61764448,19631154,67018052,49850200,53674192,44413876,80162264,59580316,38864356,64997024,66629212,58275252,62780300,60816708,68365360,56265948,72479840,63413680,62529144,79124968,74534464,82649240,65366528,77599392,65316172,22027386,71669088,73024664,64827508,83884352,83167112
N-acetyl-isoputreanine,,,,,,,,,,,,,,,351129,470668,358843,402429,619428,,635534,198387,468578,430850,221407,507114,464973,350260,581537,184934,516293,337251,,498460,,,,,,,,,,,,373609,586756,300403,686986,875466,,733566,442756,941517,770741,562731,528934,569176,729908,549703,406582,555257,335157,602284,643265
N-acetylalanine,C02847,88064,HMDB00766,,,,,,,,144274,,,,1324820,821933,703132,955719,987212,1181180,915889,839711,1447880,1289033,872586,1607705,1208679,883516,859699,802576,921413,538842,974438,1072628,,523881,414668,382502,622878,527053,,449435,,432944,319712,1365141,1049852,917358,979977,1299910,503035,903826,924226,1788449,1300108,1850410,1025237,1063667,1049000,519747,1067434,1284382,1609467,1788447,1545792
N-acetylarginine,C02562,67427,HMDB04620,1691896,1629138,2294436,1846830,1980347,1661870,1565720,2177115,1681772,1785508,1768050,1218283,1241780,1121780,1116210,1108647,1440213,1451202,861084,1203769,1174865,880923,848868,1314785,1051411,912038,1019465,891613,1327980,1203874,967860,1622116,3061812,2928160,3454481,3717921,3248376,2119372,1909892,1673558,1766852,1790149,1064287,1077375,1047383,1523160,1231298,3441513,1179721,1085236,1371532,996775,1190508,1063881,1357471,1196888,899765,1165947,730668,1293888,1071566,810731
N-acetylasparagine,,99715,HMDB06028,1955528,1601736,1934254,2181167,1715224,2003794,1717269,1907037,2078803,2391744,1965476,1318746,1193367,1286111,1377136,1423919,1024634,1541390,1162796,1256603,1271351,1452775,1496909,1959237,2462788,1104185,1466341,1463191,2159764,1865215,1752911,1960958,1673693,2325060,2095781,2025117,2307143,2612030,1885929,2057189,2715056,2262387,1133251,1158333,1303033,1541985,961570,1833589,1247769,1113157,1390640,1257002,1985901,1508269,2108254,2213825,1414387,1980214,1519544,2030204,2119247,2016192
N-acetylaspartate (NAA),C01042,65065,HMDB00812,1199466,1139372,1368012,1426142,1399264,1729902,547966,1813069,2247652,1644097,2008063,1232869,851881,1423823,310954,1343454,478494,1028582,1298294,1074370,,406972,2122621,2473662,2247236,,331838,1998621,500533,1829950,1924896,921256,,956057,734486,790752,3152563,2737275,1477359,252354,1945165,1957969,1815756,977907,863713,935470,474167,1863309,597932,604103,715054,714515,3270088,1921770,2015650,2106668,,2304882,1494024,1080067,2254682,2022996
N-acetylglucosamine/N-acetylgalactosamine,,24139,HMDB00215,,,,,,,,,,,,2985055,4068780,5004308,4024264,5219313,2361153,4258257,5275845,3348673,4762332,413642,728707,891884,709840,,712822,872999,623576,846037,320808,,,330759,,354587,370970,,,,237223,,3745295,4791401,6106098,5139866,6353997,436270,7239242,11814736,5301030,7343847,996975,,1139020,1127670,426060,942738,571943,,758569,
N-acetylglutamate,C00624,70914,HMDB01138,,,,,,,1950738,1290317,1234309,2905808,597497,474940,253713,,,315827,287532,302718,,330233,320095,5785751,5825632,4645902,8561604,1980226,5170154,6069365,4736624,7350773,2089272,20149,961731,428279,810081,371730,327631,2252656,1178301,2541519,3712572,639279,522706,305683,482518,327080,720970,421150,547827,382854,575405,467711,4804770,6841539,4715823,8159401,3118356,4997762,5582712,6212750,7495408,3940535
N-acetylglutamine,C02716,182230,HMDB06029,7545227,7780622,9545570,8622640,9867657,8897158,8086987,8978028,8099411,9121554,8052495,7720738,7603148,5948362,6736845,6511422,6434229,6975759,4549068,6437329,7262570,5591472,5205310,5795832,5881250,5310338,5166499,5141892,5928876,5858041,6331949,7442355,12906035,12279919,14597209,14001157,13344341,9267713,8571537,7779628,9358324,7978362,6006636,6828830,5426815,7350098,6849130,15200072,7289257,5628028,7575154,6603870,6047264,6079893,6172777,5905227,5476131,5667461,5459537,5951612,5707222,6054127
N-acetylhistidine,C02997,75619,HMDB32055,460899,422685,586327,447748,446187,605805,703680,703190,800804,890908,406587,348399,432096,357839,402726,354551,284332,370785,245831,313182,277613,471668,516275,658578,720498,200154,416908,576220,564986,642770,471788,367408,566891,679535,774547,740186,693805,841922,709283,774601,1126321,506151,253604,298572,309068,367716,354074,657710,475092,353456,419180,275987,619682,650768,602072,718697,359741,660141,587532,582652,715007,407807
N-acetylisoleucine,,306109,HMDB61684,,,,,33391,,730324,396961,370032,546349,195565,,,,,,,,,46648,,927479,638392,661135,579989,247813,842700,585464,588700,850547,302895,,,42493,,,,838516,378285,381377,717885,219420,,44231,,,,,,,32348,,762597,621863,571278,909894,319604,889314,588752,606806,832608,359063
N-acetylleucine,C02710,70912,HMDB11756,33930,,47283,30186,38398,,166386,101645,113519,135102,87409,67513,76618,99201,62630,91417,92043,105392,73514,80445,93500,215471,150419,161118,156712,142074,187521,155523,156887,150388,123843,,81343,64484,76900,53921,66100,177685,96864,97751,156391,97449,45084,84618,78845,91615,104089,61485,127693,109291,87298,87308,192669,140166,176939,181193,125509,221726,139536,143007,171053,113896
N-acetylmethionine,C02712,448580,HMDB11745,,,,,,24541,28598,,23124,,,118146,147547,160704,141813,142738,128146,160303,159744,133761,177840,84621,55697,68633,45337,102846,72940,56809,87758,56294,95308,,104146,90596,112407,97409,109420,25354,,21429,,,151301,154255,160257,163782,189045,112489,211687,197883,199217,218126,104316,94744,107843,109723,71021,96013,101865,72073,89279,107272
N-acetylneuraminate,C00270,439197,HMDB00230,,,,,,,,,,,,1364589,990976,1155569,1531035,828018,1047169,573253,1711655,1664664,1041948,1352459,1421884,1452515,1492710,1286664,1024895,1080298,2441880,1412841,1578682,,,,,,,,,,,,1465567,1600964,2009176,2190768,1554615,,2039865,2538507,2895081,1761944,2849507,1912670,2128855,2561459,1671446,1966274,1562020,2240203,1857408,1532155
N-acetylphenylalanine,C03519,74839,HMDB00512,,,,,,,93066,78246,140201,73893,33729,21544,22049,27241,21075,31853,21952,21272,24242,23872,26417,141995,99384,134411,83161,79355,135121,91455,148085,113126,77137,,,15112,,,25357,105757,87504,128696,99666,47620,36182,24313,36894,27693,38795,,23144,28956,38077,44416,175992,92838,160656,125386,86931,144398,97471,157126,118786,98876
N-acetylproline,,322640,,645863,818241,1408698,750694,1135833,1183182,746367,588491,561090,546409,,,784295,676711,367240,637785,626227,848625,741370,878127,921109,1024614,779700,1245468,1017085,483121,1026067,1223083,1807003,1272600,1173852,337222,1955300,1990204,2556564,2384361,1773560,944153,714729,,467471,612424,,501822,581120,799201,771552,2476826,939917,1141244,1396426,1357664,1162261,648984,885691,1036021,1190629,2678030,1892093,2159076,1664131,1274263
N-acetylputrescine,C02714,122356,HMDB02064,,,,,,,2963719,2520187,2550624,3268004,1133092,779410,,,,3643125,,1509979,851962,,,2954964,2593015,3551113,2990093,1708384,3572952,2939581,3534386,2987083,1904012,,1778891,2327608,2103956,2875722,1798828,3483833,3105480,3792959,3871502,1522639,596750,,1238373,,,1740763,1680314,1289651,965154,862585,2949992,2774473,3520065,3318095,1270003,3393150,3161744,3431481,3431237,1799434
N-acetylserine,,65249,HMDB02931,570604,828572,1060708,853383,901898,921732,10869860,7924243,8262073,14355803,1986216,1027779,989090,877429,992054,1080595,788337,1129872,1094612,989574,885513,5085599,4087969,5079153,6067767,2503375,4371019,4444129,4624946,5224355,3047652,985535,1406906,1494401,1609867,1659880,1594219,16903808,10790429,12915691,20641532,2777134,1023992,927511,902907,1144361,1014357,1628247,1429807,1140353,1399755,1038585,4550498,4644309,5416049,4981892,3614119,5390376,4557405,5320309,5785033,3948484
N-acetylthreonine,,152204,HMDB62557,230266,248512,230683,273683,245508,278944,438566,477117,461069,447176,328430,237506,290411,314884,264266,283117,281487,265679,308754,242885,270436,1525770,1262297,1283540,1126741,770651,1345478,1276059,1412939,1443876,798494,239930,269649,313199,279729,320774,288848,532147,513527,411478,562338,310623,273688,300363,270337,276240,297228,319089,280412,278472,280931,273405,1812374,1436680,1333446,1739251,955599,1384639,1294834,1355309,1396594,997325
N-acetyltryptophan,C03137,700653,HMDB13713,,,,,,,,34197,,32445,,,30460,,30360,,,,,36357,,76056,106072,56519,122569,32311,61457,97408,65088,114881,36666,,,40334,,,,17832,35606,17311,42788,,,39154,,45521,20551,,58476,15283,45137,29375,64857,131460,65080,156981,33730,61977,108016,69413,125941,45329
N-acetyltyrosine,,68310,HMDB00866,,,,,,,45279,30026,,39877,,,23186,,,,,,,,,88967,90357,86934,76738,73017,91407,111219,104119,93146,63731,,,,,,,33334,,,,24136,,31816,,,,,,,44929,,94204,118958,115883,111498,44388,85207,87300,93931,85207,75250
N-carbamoylaspartate,C00438,93072,HMDB00828,,,,,,,865578,2769847,589565,2003445,341029,,,,,,,33150,,42148,,5508674,25484992,3374514,14147685,2702524,5354289,15227058,3523939,2635201,2574153,,,1649967,213821,617125,116196,1062270,2833724,813960,2633918,466436,,,,,,245035,723704,,1433877,,5965333,27835010,4522235,13256725,8639636,6123616,3464796,4407626,14768937,5638749
N-formylmethionine,C03145,439750,HMDB01015,,,,,,,,,,,,42756,41929,,45005,41172,51146,47595,78612,58640,44487,101949,80130,105362,93812,33996,84661,81148,127731,86002,48323,,77316,78036,76174,72940,70926,27649,,,,,55976,56588,78582,71521,48213,78249,78462,97307,76855,84326,153028,119426,165700,154164,67522,184164,132570,177160,131093,91027
N-monomethylarginine,C03884,132862,HMDB29416,,,,,,,,,,,,1805643,1260643,1369421,1536340,1549266,1503941,1732165,1247872,1298602,1031848,836595,1724306,1101168,1106670,1122300,633487,1409535,1333776,1106069,1923505,,,,,,,,,,,,1590383,2163421,2129643,2018178,2000597,,1752368,2195101,1202373,1944177,1098308,1589398,1343100,2114393,1641828,1108795,1105307,1897573,1374037,1757421
N1-methyladenosine,C02494,27476,HMDB03331,,,,,,,,,,,,753879,696072,1009043,740856,777795,548265,795453,439385,740700,593309,298407,622799,903440,676403,923598,436830,606417,777006,788329,1321774,,,,,,,,,,,,741085,1196575,1046931,1179448,975329,,911505,891743,1554296,1113199,1629955,1053865,790745,957673,1177029,787778,796578,1207981,1081936,940862
N1-methylinosine,,65095,HMDB02721,,,,,,,,,,,,372425,189523,267612,294210,,362064,261995,,445092,249828,212474,208334,216280,207308,216946,201783,207573,177919,180856,197712,,,,,,,,,,,,503678,275826,530805,537467,348173,,235948,241929,272491,174075,430676,179646,447587,365605,296366,282761,178797,269226,283277,258518
"N6,N6,N6-trimethyllysine",C03793,440120,HMDB01325,,,,,,,,,,,,3211211,3115816,4200183,4038392,3804641,2893102,3558661,3710296,4126711,3304955,3436917,2807088,3231909,3466212,3678676,2372108,3143661,5264696,3864289,4853162,,,,,,,,,,,,4231062,4750368,4763741,7075658,6037619,,4073701,3915173,8576458,3605885,5507854,4122035,5004260,6933510,5209348,3753920,3305041,5151559,3943432,4162389
nicotinamide,C00153,936,HMDB01406,2205660,2184991,1928719,2607020,2461272,2417347,,306524,,,,7047014,7519647,9402379,8185858,6778970,7169690,8494441,7237517,11404806,5756101,367619,,166197,,,,150613,,,,2055369,1280617,1381901,1720386,1496813,1690673,394815,,399547,,,7682580,7254695,10016156,16055666,10457891,1156763,6093195,6814000,16922592,4913250,,370327,476779,,284358,,334468,,,
nicotinamide ribonucleotide (NMN),C00455,14180,HMDB00229,,,,,,,,,,,,149823,216878,239325,235921,469546,155043,289347,335557,220237,549907,529765,483798,722501,663469,887396,410811,398689,733097,559685,1205693,,,,,,,,,,,,,272158,276032,181018,494968,,1122173,1231868,1016357,1192292,760817,630066,663835,583583,818670,756121,518744,780882,643448,883257
